token,list of numbers
be,"[476, 0, 474, 0, 610, 0, 909, 0, 687]"
ord,"[755, 0, 599, 0, 713, 0, 1024, 0, 626]"
at,"[710, 0, 618, 0, 775, 0, 1100, 0, 817]"
food,"[805, 0, 836, 0, 1184, 0, 1832, 0, 1708]"
court,"[5, 0, 2, 0, 12, 0, 24, 0, 19]"
sint,"[96, 0, 85, 0, 130, 0, 182, 0, 120]"
their,"[269, 0, 355, 0, 596, 0, 1042, 0, 813]"
setup,"[0, 0, 3, 0, 1, 0, 3, 0, 2]"
kind,"[54, 0, 55, 0, 126, 0, 157, 0, 117]"
but,"[738, 0, 1065, 0, 1789, 0, 2309, 0, 1255]"
then,"[182, 0, 103, 0, 100, 0, 126, 0, 117]"
real,"[255, 0, 336, 0, 518, 0, 868, 0, 687]"
wrong,"[52, 0, 44, 0, 42, 0, 30, 0, 38]"
sid,"[68, 0, 112, 0, 187, 0, 303, 0, 158]"
lin,"[30, 0, 37, 0, 44, 0, 65, 0, 60]"
felt,"[41, 0, 55, 0, 79, 0, 52, 0, 46]"
embarrass,"[4, 0, 5, 0, 0, 0, 2, 0, 3]"
when,"[399, 0, 303, 0, 373, 0, 492, 0, 400]"
turn,"[37, 0, 26, 0, 26, 0, 30, 0, 22]"
to,"[2649, 0, 2253, 0, 2904, 0, 4386, 0, 3569]"
",","[3227, 0, 3689, 0, 5740, 0, 8903, 0, 6753]"
lady,"[27, 0, 16, 0, 21, 0, 17, 0, 21]"
cash,"[21, 0, 23, 0, 36, 0, 36, 0, 22]"
reg,"[10, 0, 7, 0, 20, 0, 60, 0, 56]"
paty,"[5, 0, 4, 0, 9, 0, 20, 0, 18]"
answ,"[17, 0, 8, 0, 1, 0, 4, 0, 9]"
any,"[162, 0, 110, 0, 125, 0, 178, 0, 152]"
quest,"[18, 0, 14, 0, 8, 0, 15, 0, 21]"
had,"[645, 0, 553, 0, 808, 0, 1257, 0, 1032]"
(,"[379, 0, 480, 0, 784, 0, 1188, 0, 829]"
grat,"[1, 0, 2, 0, 4, 0, 2, 0, 5]"
becaus,"[179, 0, 200, 0, 278, 0, 387, 0, 194]"
already,"[36, 0, 27, 0, 31, 0, 35, 0, 35]"
blush,"[0, 0, 0, 0, 0, 0, 3, 0, 1]"
lot,"[67, 0, 116, 0, 191, 0, 358, 0, 220]"
from,"[296, 0, 276, 0, 369, 0, 551, 0, 530]"
accid,"[5, 0, 3, 0, 3, 0, 7, 0, 2]"
peopl,"[123, 0, 119, 0, 169, 0, 258, 0, 206]"
),"[372, 0, 472, 0, 806, 0, 1302, 0, 960]"
ev,"[503, 0, 307, 0, 266, 0, 470, 0, 505]"
though,"[53, 0, 121, 0, 273, 0, 323, 0, 109]"
quit,"[40, 0, 92, 0, 259, 0, 336, 0, 151]"
bit,"[79, 0, 138, 0, 373, 0, 530, 0, 254]"
dur,"[24, 0, 26, 0, 56, 0, 96, 0, 62]"
fast,"[38, 0, 40, 0, 99, 0, 189, 0, 161]"
yo,"[183, 0, 134, 0, 223, 0, 385, 0, 359]"
hangry,"[0, 0, 0, 0, 1, 0, 1, 0, 2]"
self,"[4, 0, 3, 0, 2, 0, 4, 0, 8]"
wont,"[8, 0, 5, 0, 0, 0, 4, 0, 2]"
get,"[354, 0, 319, 0, 524, 0, 849, 0, 654]"
best,"[51, 0, 96, 0, 168, 0, 436, 0, 656]"
got,"[266, 0, 225, 0, 256, 0, 407, 0, 257]"
build,"[1, 0, 7, 0, 13, 0, 50, 0, 49]"
own,"[100, 0, 85, 0, 63, 0, 153, 0, 237]"
bowl,"[35, 0, 63, 0, 73, 0, 118, 0, 70]"
two,"[120, 0, 122, 0, 157, 0, 185, 0, 174]"
mixin,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
s,"[474, 0, 637, 0, 1139, 0, 1576, 0, 1241]"
top,"[92, 0, 96, 0, 140, 0, 224, 0, 247]"
doubl,"[13, 0, 6, 0, 13, 0, 27, 0, 17]"
salmon,"[33, 0, 45, 0, 55, 0, 97, 0, 79]"
port,"[48, 0, 103, 0, 190, 0, 356, 0, 234]"
wer,"[617, 0, 720, 0, 864, 0, 1251, 0, 841]"
fish,"[49, 0, 65, 0, 115, 0, 149, 0, 123]"
hous,"[20, 0, 18, 0, 39, 0, 100, 0, 92]"
shoyu,"[0, 0, 0, 0, 3, 0, 1, 0, 3]"
sauc,"[143, 0, 227, 0, 266, 0, 449, 0, 314]"
act,"[96, 0, 67, 0, 105, 0, 155, 0, 97]"
tasty,"[16, 0, 43, 0, 112, 0, 257, 0, 186]"
simil,"[11, 0, 18, 0, 32, 0, 48, 0, 18]"
terriyak,"[0, 0, 0, 0, 2, 0, 0, 0, 1]"
less,"[31, 0, 29, 0, 68, 0, 81, 0, 55]"
thick,"[11, 0, 13, 0, 30, 0, 47, 0, 27]"
greasy,"[23, 0, 19, 0, 44, 0, 48, 0, 24]"
went,"[204, 0, 144, 0, 158, 0, 281, 0, 215]"
wel,"[116, 0, 140, 0, 228, 0, 472, 0, 427]"
honest,"[45, 0, 30, 0, 38, 0, 57, 0, 39]"
do,"[416, 0, 317, 0, 429, 0, 528, 0, 390]"
nt,"[898, 0, 840, 0, 1098, 0, 1283, 0, 882]"
anyth,"[64, 0, 65, 0, 57, 0, 76, 0, 60]"
bad,"[182, 0, 119, 0, 183, 0, 136, 0, 48]"
say,"[167, 0, 115, 0, 170, 0, 213, 0, 170]"
delicy,"[17, 0, 53, 0, 143, 0, 539, 0, 603]"
devo,"[0, 0, 2, 0, 4, 0, 6, 0, 4]"
inh,"[0, 0, 3, 0, 3, 0, 5, 0, 9]"
very,"[283, 0, 413, 0, 606, 0, 1148, 0, 997]"
quick,"[45, 0, 65, 0, 137, 0, 237, 0, 203]"
cam,"[249, 0, 229, 0, 299, 0, 371, 0, 259]"
her,"[537, 0, 455, 0, 620, 0, 959, 0, 786]"
whil,"[86, 0, 94, 0, 133, 0, 196, 0, 140]"
op,"[68, 0, 55, 0, 112, 0, 149, 0, 115]"
misl,"[1, 0, 1, 0, 1, 0, 0, 0, 0]"
cashy,"[15, 0, 7, 0, 15, 0, 12, 0, 6]"
said,"[215, 0, 99, 0, 87, 0, 90, 0, 56]"
we,"[1150, 0, 826, 0, 885, 0, 1399, 0, 1309]"
allow,"[18, 0, 12, 0, 13, 0, 23, 0, 18]"
as,"[378, 0, 488, 0, 844, 0, 1161, 0, 939]"
many,"[71, 0, 66, 0, 112, 0, 202, 0, 204]"
want,"[204, 0, 160, 0, 220, 0, 268, 0, 201]"
which,"[207, 0, 252, 0, 479, 0, 727, 0, 441]"
complet,"[48, 0, 44, 0, 23, 0, 32, 0, 27]"
fals,"[2, 0, 0, 0, 1, 0, 2, 0, 0]"
for,"[1159, 0, 1265, 0, 2049, 0, 3093, 0, 2298]"
itself,"[22, 0, 43, 0, 58, 0, 71, 0, 33]"
not,"[1074, 0, 1028, 0, 1116, 0, 1329, 0, 783]"
terr,"[116, 0, 50, 0, 39, 0, 27, 0, 6]"
definit,"[57, 0, 80, 0, 217, 0, 569, 0, 505]"
serv,"[685, 0, 658, 0, 926, 0, 1519, 0, 1144]"
rath,"[30, 0, 38, 0, 45, 0, 46, 0, 19]"
smal,"[87, 0, 123, 0, 201, 0, 307, 0, 169]"
rememb,"[18, 0, 22, 0, 38, 0, 41, 0, 38]"
correct,"[17, 0, 8, 0, 10, 0, 15, 0, 9]"
howev,"[67, 0, 119, 0, 218, 0, 223, 0, 68]"
nic,"[67, 0, 137, 0, 328, 0, 606, 0, 395]"
pokebowl,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
joint,"[12, 0, 12, 0, 31, 0, 37, 0, 24]"
around,"[97, 0, 90, 0, 134, 0, 219, 0, 175]"
waterloo,"[51, 0, 73, 0, 147, 0, 343, 0, 368]"
tri,"[70, 0, 79, 0, 134, 0, 244, 0, 245]"
3,"[87, 0, 65, 0, 138, 0, 123, 0, 96]"
diff,"[61, 0, 47, 0, 111, 0, 162, 0, 124]"
pok,"[3, 0, 1, 0, 5, 0, 12, 0, 13]"
spot,"[12, 0, 22, 0, 38, 0, 137, 0, 126]"
downtown,"[7, 0, 13, 0, 13, 0, 47, 0, 30]"
toronto,"[13, 0, 27, 0, 47, 0, 93, 0, 80]"
being,"[90, 0, 96, 0, 102, 0, 140, 0, 95]"
box,"[20, 0, 21, 0, 28, 0, 40, 0, 31]"
favourit,"[14, 0, 16, 0, 52, 0, 136, 0, 235]"
out,"[334, 0, 313, 0, 454, 0, 648, 0, 516]"
hyp,"[2, 0, 9, 0, 7, 0, 10, 0, 3]"
chain,"[12, 0, 15, 0, 36, 0, 35, 0, 30]"
stor,"[64, 0, 37, 0, 28, 0, 60, 0, 79]"
took,"[117, 0, 81, 0, 103, 0, 105, 0, 68]"
me,"[409, 0, 265, 0, 359, 0, 460, 0, 348]"
go,"[256, 0, 247, 0, 341, 0, 481, 0, 463]"
did,"[397, 0, 281, 0, 385, 0, 420, 0, 204]"
up,"[264, 0, 236, 0, 307, 0, 469, 0, 349]"
typ,"[18, 0, 41, 0, 79, 0, 132, 0, 72]"
skew,"[2, 0, 8, 0, 17, 0, 25, 0, 13]"
amaz,"[15, 0, 27, 0, 75, 0, 256, 0, 535]"
fin,"[150, 0, 144, 0, 121, 0, 180, 0, 117]"
som,"[168, 0, 230, 0, 346, 0, 509, 0, 375]"
off,"[204, 0, 148, 0, 212, 0, 349, 0, 244]"
drop,"[22, 0, 17, 0, 25, 0, 22, 0, 9]"
by,"[214, 0, 159, 0, 175, 0, 335, 0, 327]"
lat,"[99, 0, 77, 0, 81, 0, 116, 0, 73]"
afternoon,"[8, 0, 8, 0, 12, 0, 25, 0, 13]"
yesterday,"[9, 0, 6, 0, 7, 0, 16, 0, 3]"
surpr,"[24, 0, 28, 0, 63, 0, 149, 0, 85]"
ful,"[44, 0, 43, 0, 77, 0, 161, 0, 118]"
no,"[353, 0, 259, 0, 217, 0, 240, 0, 184]"
big,"[42, 0, 59, 0, 126, 0, 252, 0, 166]"
deal,"[31, 0, 25, 0, 63, 0, 90, 0, 46]"
obvy,"[19, 0, 20, 0, 16, 0, 26, 0, 9]"
stud,"[21, 0, 31, 0, 69, 0, 141, 0, 76]"
maj,"[4, 0, 7, 0, 9, 0, 19, 0, 5]"
loc,"[166, 0, 108, 0, 230, 0, 393, 0, 273]"
seem,"[92, 0, 134, 0, 200, 0, 182, 0, 95]"
mind,"[18, 0, 16, 0, 31, 0, 57, 0, 32]"
busy,"[123, 0, 86, 0, 142, 0, 265, 0, 163]"
just,"[367, 0, 362, 0, 499, 0, 532, 0, 452]"
wait,"[301, 0, 239, 0, 242, 0, 363, 0, 304]"
until,"[49, 0, 37, 0, 28, 0, 37, 0, 30]"
custom,"[172, 0, 105, 0, 76, 0, 117, 0, 120]"
approach,"[15, 0, 1, 0, 5, 0, 7, 0, 5]"
end,"[84, 0, 66, 0, 88, 0, 158, 0, 82]"
``,"[260, 0, 175, 0, 203, 0, 200, 0, 154]"
window,"[17, 0, 9, 0, 14, 0, 28, 0, 15]"
wil,"[262, 0, 158, 0, 214, 0, 400, 0, 452]"
prep,"[21, 0, 27, 0, 35, 0, 47, 0, 53]"
down,"[126, 0, 113, 0, 127, 0, 149, 0, 137]"
wher,"[57, 0, 76, 0, 77, 0, 131, 0, 93]"
pick,"[30, 0, 33, 0, 32, 0, 66, 0, 51]"
pay,"[111, 0, 96, 0, 101, 0, 113, 0, 60]"
too,"[135, 0, 204, 0, 402, 0, 536, 0, 354]"
lit,"[54, 0, 33, 0, 31, 0, 29, 0, 34]"
walk,"[74, 0, 57, 0, 54, 0, 112, 0, 109]"
back,"[322, 0, 235, 0, 276, 0, 482, 0, 485]"
twic,"[39, 0, 33, 0, 34, 0, 43, 0, 34]"
try,"[140, 0, 139, 0, 277, 0, 475, 0, 476]"
fig,"[7, 0, 11, 0, 14, 0, 20, 0, 7]"
guy,"[50, 0, 23, 0, 26, 0, 49, 0, 36]"
both,"[69, 0, 74, 0, 110, 0, 247, 0, 176]"
respond,"[10, 0, 5, 0, 3, 0, 10, 0, 3]"
ex,"[12, 0, 7, 0, 6, 0, 8, 0, 4]"
girl,"[30, 0, 29, 0, 23, 0, 19, 0, 10]"
freshi,"[1, 0, 6, 0, 1, 0, 5, 0, 5]"
next,"[60, 0, 49, 0, 75, 0, 141, 0, 108]"
door,"[39, 0, 21, 0, 33, 0, 43, 0, 42]"
would,"[372, 0, 321, 0, 521, 0, 750, 0, 433]"
hi,"[1, 0, 0, 0, 0, 0, 1, 0, 2]"
near,"[30, 0, 28, 0, 49, 0, 63, 0, 41]"
ok,"[54, 0, 97, 0, 129, 0, 56, 0, 18]"
stil,"[107, 0, 108, 0, 170, 0, 241, 0, 116]"
slow,"[61, 0, 83, 0, 108, 0, 104, 0, 37]"
than,"[124, 0, 172, 0, 301, 0, 429, 0, 257]"
can,"[194, 0, 186, 0, 332, 0, 598, 0, 483]"
understand,"[42, 0, 38, 0, 37, 0, 28, 0, 17]"
coupl,"[32, 0, 46, 0, 54, 0, 92, 0, 60]"
week,"[23, 0, 25, 0, 31, 0, 69, 0, 80]"
umam,"[0, 0, 0, 0, 4, 0, 10, 0, 4]"
tak,"[161, 0, 142, 0, 175, 0, 223, 0, 205]"
insid,"[29, 0, 39, 0, 53, 0, 101, 0, 79]"
cle,"[42, 0, 42, 0, 93, 0, 128, 0, 121]"
spacy,"[0, 0, 7, 0, 9, 0, 25, 0, 7]"
rar,"[21, 0, 8, 0, 37, 0, 47, 0, 47]"
onto,"[11, 0, 8, 0, 6, 0, 8, 0, 7]"
compact,"[0, 0, 0, 0, 1, 0, 2, 0, 0]"
it/press,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
upsid,"[1, 0, 3, 0, 3, 0, 2, 0, 0]"
ric,"[117, 0, 191, 0, 225, 0, 317, 0, 186]"
fal,"[10, 0, 9, 0, 8, 0, 25, 0, 17]"
brick,"[0, 0, 6, 0, 4, 0, 14, 0, 5]"
sur,"[72, 0, 89, 0, 141, 0, 209, 0, 185]"
what,"[277, 0, 220, 0, 329, 0, 409, 0, 293]"
ask,"[294, 0, 166, 0, 145, 0, 210, 0, 129]"
lol,"[8, 0, 5, 0, 17, 0, 45, 0, 13]"
giv,"[207, 0, 162, 0, 238, 0, 295, 0, 171]"
protein,"[0, 0, 4, 0, 10, 0, 18, 0, 7]"
complain,"[32, 0, 19, 0, 16, 0, 43, 0, 22]"
noth,"[94, 0, 106, 0, 175, 0, 109, 0, 58]"
know,"[146, 0, 88, 0, 109, 0, 173, 0, 138]"
al,"[376, 0, 318, 0, 480, 0, 744, 0, 690]"
about,"[239, 0, 248, 0, 277, 0, 411, 0, 340]"
healthy,"[3, 0, 3, 0, 15, 0, 70, 0, 63]"
thes,"[41, 0, 42, 0, 44, 0, 82, 0, 64]"
day,"[80, 0, 67, 0, 138, 0, 209, 0, 163]"
lov,"[37, 0, 70, 0, 144, 0, 473, 0, 573]"
unhealthy,"[2, 0, 2, 0, 0, 0, 4, 0, 3]"
fatty,"[7, 0, 6, 0, 10, 0, 19, 0, 9]"
buy,"[23, 0, 17, 0, 12, 0, 26, 0, 26]"
fre,"[40, 0, 44, 0, 54, 0, 116, 0, 87]"
grand,"[1, 0, 1, 0, 16, 0, 6, 0, 6]"
spec,"[65, 0, 115, 0, 242, 0, 276, 0, 253]"
few,"[93, 0, 100, 0, 143, 0, 232, 0, 161]"
pleas,"[42, 0, 31, 0, 56, 0, 119, 0, 110]"
gre,"[74, 0, 166, 0, 409, 0, 1190, 0, 1253]"
qual,"[133, 0, 162, 0, 178, 0, 305, 0, 265]"
environ,"[8, 0, 9, 0, 29, 0, 45, 0, 48]"
:,"[110, 0, 144, 0, 251, 0, 413, 0, 380]"
resta,"[299, 0, 323, 0, 501, 0, 772, 0, 695]"
king/university,"[0, 0, 0, 0, 2, 0, 1, 0, 1]"
plaz,"[24, 0, 42, 0, 83, 0, 113, 0, 59]"
ampl,"[0, 0, 3, 0, 2, 0, 6, 0, 8]"
park,"[17, 0, 15, 0, 35, 0, 94, 0, 71]"
spac,"[10, 0, 10, 0, 26, 0, 52, 0, 34]"
conveny,"[10, 0, 11, 0, 22, 0, 27, 0, 22]"
thos,"[26, 0, 36, 0, 68, 0, 93, 0, 61]"
bus,"[13, 0, 8, 0, 12, 0, 18, 0, 12]"
has,"[142, 0, 183, 0, 193, 0, 370, 0, 325]"
com,"[232, 0, 225, 0, 368, 0, 628, 0, 521]"
group,"[35, 0, 46, 0, 119, 0, 150, 0, 92]"
4,"[59, 0, 44, 0, 77, 0, 159, 0, 70]"
plan,"[9, 0, 6, 0, 21, 0, 21, 0, 23]"
bathroom,"[9, 0, 1, 0, 9, 0, 8, 0, 12]"
chic,"[0, 0, 0, 0, 1, 0, 6, 0, 3]"
describ,"[25, 0, 12, 0, 19, 0, 23, 0, 15]"
star,"[93, 0, 92, 0, 155, 0, 217, 0, 78]"
m,"[132, 0, 128, 0, 189, 0, 319, 0, 254]"
main,"[11, 0, 45, 0, 63, 0, 105, 0, 62]"
til,"[6, 0, 1, 0, 6, 0, 8, 0, 8]"
wal,"[8, 0, 12, 0, 23, 0, 39, 0, 35]"
uncomfort,"[6, 0, 6, 0, 8, 0, 5, 0, 3]"
bogo,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
us,"[525, 0, 417, 0, 452, 0, 705, 0, 492]"
+,"[8, 0, 11, 0, 25, 0, 59, 0, 23]"
tun,"[11, 0, 31, 0, 25, 0, 29, 0, 32]"
duck,"[4, 0, 16, 0, 36, 0, 89, 0, 81]"
quant,"[13, 0, 16, 0, 28, 0, 23, 0, 14]"
wis,"[3, 0, 4, 0, 19, 0, 14, 0, 9]"
valu,"[16, 0, 18, 0, 38, 0, 100, 0, 60]"
norm,"[28, 0, 23, 0, 36, 0, 45, 0, 43]"
cost,"[31, 0, 46, 0, 42, 0, 50, 0, 41]"
$,"[200, 0, 238, 0, 396, 0, 555, 0, 333]"
15,"[42, 0, 45, 0, 37, 0, 50, 0, 28]"
per,"[8, 0, 18, 0, 42, 0, 39, 0, 21]"
put,"[76, 0, 59, 0, 58, 0, 77, 0, 54]"
gen,"[27, 0, 51, 0, 86, 0, 132, 0, 108]"
flavo,"[45, 0, 97, 0, 152, 0, 256, 0, 222]"
sashim,"[26, 0, 25, 0, 41, 0, 96, 0, 79]"
fresh,"[67, 0, 67, 0, 162, 0, 399, 0, 502]"
watery/soggy,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
text,"[18, 0, 21, 0, 25, 0, 50, 0, 27]"
also,"[143, 0, 225, 0, 324, 0, 693, 0, 606]"
look,"[183, 0, 185, 0, 235, 0, 322, 0, 269]"
damn,"[3, 0, 1, 0, 7, 0, 11, 0, 23]"
colo,"[5, 0, 4, 0, 10, 0, 14, 0, 6]"
appet,"[19, 0, 58, 0, 58, 0, 115, 0, 87]"
inst,"[12, 0, 11, 0, 8, 0, 9, 0, 6]"
worthy,"[0, 0, 1, 0, 0, 0, 3, 0, 5]"
bas,"[64, 0, 65, 0, 91, 0, 132, 0, 81]"
mcdonald,"[12, 0, 6, 0, 15, 0, 6, 0, 6]"
tabl,"[246, 0, 169, 0, 233, 0, 273, 0, 186]"
someon,"[45, 0, 30, 0, 30, 0, 33, 0, 31]"
hand,"[51, 0, 32, 0, 39, 0, 80, 0, 110]"
cardboard,"[4, 0, 2, 0, 5, 0, 1, 0, 4]"
menu,"[131, 0, 158, 0, 283, 0, 520, 0, 411]"
explain,"[25, 0, 18, 0, 18, 0, 24, 0, 33]"
how,"[132, 0, 85, 0, 120, 0, 213, 0, 152]"
somehow,"[4, 0, 4, 0, 8, 0, 5, 0, 7]"
man,"[170, 0, 73, 0, 60, 0, 98, 0, 73]"
mess,"[45, 0, 25, 0, 18, 0, 10, 0, 10]"
oth,"[190, 0, 225, 0, 376, 0, 494, 0, 361]"
mix,"[18, 0, 29, 0, 57, 0, 86, 0, 55]"
green,"[12, 0, 40, 0, 26, 0, 84, 0, 66]"
littl,"[63, 0, 109, 0, 251, 0, 434, 0, 252]"
med,"[22, 0, 22, 0, 36, 0, 62, 0, 33]"
siz,"[29, 0, 68, 0, 108, 0, 173, 0, 105]"
tea,"[24, 0, 29, 0, 57, 0, 116, 0, 89]"
19,"[1, 0, 0, 0, 0, 0, 7, 0, 1]"
cheapest,"[1, 0, 2, 0, 4, 0, 6, 0, 3]"
opt,"[40, 0, 53, 0, 126, 0, 257, 0, 216]"
satisfy,"[8, 0, 9, 0, 39, 0, 81, 0, 56]"
crav,"[9, 0, 31, 0, 42, 0, 90, 0, 44]"
piec,"[72, 0, 64, 0, 100, 0, 98, 0, 64]"
mor,"[168, 0, 214, 0, 360, 0, 497, 0, 380]"
eel,"[1, 0, 5, 0, 3, 0, 6, 0, 7]"
larg,"[44, 0, 67, 0, 139, 0, 250, 0, 163]"
fil,"[24, 0, 66, 0, 106, 0, 171, 0, 131]"
ca,"[50, 0, 48, 0, 70, 0, 134, 0, 149]"
lunch,"[67, 0, 90, 0, 195, 0, 382, 0, 275]"
are,"[46, 0, 70, 0, 106, 0, 220, 0, 205]"
modern,"[1, 0, 4, 0, 21, 0, 44, 0, 24]"
tot,"[28, 0, 22, 0, 30, 0, 48, 0, 45]"
mad,"[114, 0, 88, 0, 127, 0, 253, 0, 303]"
pretty,"[78, 0, 185, 0, 438, 0, 562, 0, 164]"
part,"[46, 0, 47, 0, 64, 0, 60, 0, 43]"
long,"[113, 0, 107, 0, 123, 0, 170, 0, 128]"
stingy,"[0, 0, 7, 0, 2, 0, 1, 0, 1]"
thing,"[97, 0, 118, 0, 191, 0, 257, 0, 166]"
goe,"[10, 0, 9, 0, 19, 0, 22, 0, 13]"
into,"[79, 0, 64, 0, 68, 0, 106, 0, 73]"
mak,"[156, 0, 156, 0, 204, 0, 352, 0, 357]"
our,"[395, 0, 347, 0, 329, 0, 511, 0, 436]"
an,"[229, 0, 223, 0, 318, 0, 461, 0, 376]"
excit,"[13, 0, 21, 0, 22, 0, 38, 0, 33]"
addit,"[13, 0, 14, 0, 31, 0, 46, 0, 33]"
divers,"[2, 0, 0, 0, 9, 0, 8, 0, 9]"
tast,"[218, 0, 273, 0, 419, 0, 477, 0, 318]"
been,"[238, 0, 241, 0, 241, 0, 441, 0, 406]"
boyfriend,"[20, 0, 22, 0, 17, 0, 35, 0, 45]"
buildyourown,"[0, 0, 1, 0, 2, 0, 1, 0, 3]"
burrito/poke,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
stepbystep,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
instruct,"[5, 0, 1, 0, 1, 0, 3, 0, 2]"
easy,"[10, 0, 16, 0, 26, 0, 88, 0, 65]"
follow,"[12, 0, 4, 0, 11, 0, 24, 0, 18]"
along,"[16, 0, 17, 0, 29, 0, 44, 0, 36]"
fun,"[5, 0, 6, 0, 28, 0, 40, 0, 58]"
see,"[81, 0, 84, 0, 94, 0, 145, 0, 105]"
col,"[4, 0, 7, 0, 6, 0, 10, 0, 3]"
togeth,"[21, 0, 25, 0, 26, 0, 48, 0, 33]"
masterpiec,"[0, 0, 0, 0, 0, 0, 1, 0, 2]"
ve,"[163, 0, 194, 0, 294, 0, 534, 0, 533]"
enjoy,"[39, 0, 60, 0, 146, 0, 287, 0, 209]"
purpl,"[1, 0, 0, 0, 0, 0, 2, 0, 4]"
grain,"[2, 0, 1, 0, 9, 0, 13, 0, 9]"
blend,"[4, 0, 6, 0, 10, 0, 15, 0, 20]"
wasab,"[5, 0, 8, 0, 6, 0, 11, 0, 4]"
citr,"[0, 0, 0, 0, 4, 0, 2, 0, 3]"
edamam,"[4, 0, 0, 0, 1, 0, 2, 0, 2]"
rang,"[3, 0, 5, 0, 18, 0, 28, 0, 21]"
1216,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
av,"[25, 0, 58, 0, 139, 0, 68, 0, 28]"
depend,"[1, 0, 6, 0, 14, 0, 20, 0, 16]"
numb,"[24, 0, 17, 0, 28, 0, 48, 0, 20]"
pricy,"[2, 0, 3, 0, 17, 0, 39, 0, 16]"
cas,"[18, 0, 15, 0, 36, 0, 64, 0, 56]"
find,"[49, 0, 56, 0, 118, 0, 229, 0, 186]"
reason,"[45, 0, 42, 0, 107, 0, 200, 0, 166]"
tre,"[32, 0, 8, 0, 13, 0, 42, 0, 48]"
ourselv,"[7, 0, 4, 0, 3, 0, 8, 0, 13]"
alway,"[55, 0, 72, 0, 149, 0, 412, 0, 476]"
